date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:59	281/281	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202019%2014:35:57%20GMT	https://fossmeet.in/robots.txt		(from )
20:05:59	58595/58595	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Feb%202019%2012:49:10%20GMT	https://fossmeet.in/	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/index.html	(from )
20:06:00	873/873	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/img/favicon.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/favicon.png	(from https://fossmeet.in/)
20:06:00	25066/25066	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2008:10:11%20GMT	https://fossmeet.in/css/style.css	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/css/style.css	(from https://fossmeet.in/)
20:06:03	141330/141330	---M--	200	added ('OK')	text/css	etag:W/%2211bd42289f37ec1ec42a2e2b57dfb2bb%22	https://code.getmdl.io/1.3.0/material.blue_grey-light_blue.min.css	/home/atul/My%20Web%20Sites/fossmeet/code.getmdl.io/1.3.0/material.blue_grey-light_blue.min.css	(from https://fossmeet.in/)
20:06:03	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/css/font-awesome.min.css	(from https://fossmeet.in/)
20:06:04	5990/5990	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Jan%202019%2010:28:30%20GMT	https://fossmeet.in/resources/img/header-logo-dark.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/header-logo-dark.png	(from https://fossmeet.in/)
20:06:05	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Apr%202019%2014:36:05%20GMT	https://fossmeet.in/schedule	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/schedule	(from https://fossmeet.in/)
20:06:06	7160/7160	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2014:36:06%20GMT	https://fossmeet.in/schedule/	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/schedule/index.html	(from https://fossmeet.in/)
20:06:07	16765/16765	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/img/logo.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/logo.png	(from https://fossmeet.in/)
20:06:08	68113/68113	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Jan%202019%2009:34:21%20GMT	https://fossmeet.in/resources/img/speakers/bradley.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/bradley.jpg	(from https://fossmeet.in/)
20:06:09	105556/105556	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Jan%202019%2017:04:21%20GMT	https://fossmeet.in/resources/img/speakers/sasikumar.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/sasikumar.png	(from https://fossmeet.in/)
